#This file was generated on Sun Jul 20 17:34:36 2025
#Using the somd command, of the molecular library Sire version <2025.2.0.dev> 
#For more information visit: https://github.com/openbiosim/sire
#
#General information on simulation parameters:
#Simulation used 250000 moves, 1 cycles and 1000 ps of simulation time
#Generating lambda is		 1.00000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0)
#Generating temperature is 	25°C
#Energy was saved every 200 steps 
#
#
#   [step]               [potential]                [gradient]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
    5400           -4.81222539e+05            5.61466740e+00            9.94401065e-01            1.00563046e+00     3.257941592348674e+04     3.257941183629213e+04     3.257942043202110e+04     3.257941904611756e+04     3.257943037960026e+04     3.257945496710288e+04     3.257951303552947e+04     3.257962590684216e+04     3.257982612487059e+04     3.258015376482746e+04     3.258066531920342e+04
    5600           -4.81186039e+05           -6.58713176e-01            1.00065893e+00            9.99341504e-01     3.254706961084914e+04     3.254706547493157e+04     3.254707367340091e+04     3.254706968227419e+04     3.254707118741050e+04     3.254706961084914e+04     3.254706957035144e+04     3.254706960989330e+04     3.254707037689499e+04     3.254706970817444e+04     3.254706961084914e+04
    5800           -4.81009262e+05            2.89668012e+00            9.97107511e-01            1.00290088e+00     3.249040892234160e+04     3.249040484992251e+04     3.249041300426428e+04     3.249041069703658e+04     3.249041747765269e+04     3.249043054550134e+04     3.249046268435776e+04     3.249052521495174e+04     3.249063643009012e+04     3.249081758911023e+04     3.249110086345316e+04
    6000           -4.80752898e+05            3.66224021e+00            9.96344458e-01            1.00366895e+00     3.243746576532685e+04     3.243746170351675e+04     3.243747013694653e+04     3.243746795591178e+04     3.243747620999900e+04     3.243749295336022e+04     3.243753337530911e+04     3.243761198783570e+04     3.243775167783114e+04     3.243797960916964e+04     3.243833578239458e+04
    6200           -4.81005827e+05            1.65140578e+00            9.98349957e-01            1.00165277e+00     3.256045273175265e+04     3.256044867341543e+04     3.256045692154881e+04     3.256045394052486e+04     3.256045900206416e+04     3.256046709507747e+04     3.256048843197262e+04     3.256052998017603e+04     3.256060412640796e+04     3.256072422923785e+04     3.256091235814708e+04
    6400           -4.80727272e+05            2.42290907e+00            9.97580024e-01            1.00242585e+00     3.249371781252824e+04     3.249371372086326e+04     3.249372190797720e+04     3.249371938520763e+04     3.249372564608522e+04     3.249373683053004e+04     3.249376509669377e+04     3.249382009423097e+04     3.249391804791717e+04     3.249407725341938e+04     3.249432638858550e+04
    6600           -4.81136686e+05            2.74796167e+00            9.97255811e-01            1.00275174e+00     3.245044025404484e+04     3.245043626540242e+04     3.245044439377616e+04     3.245044204721824e+04     3.245044892568059e+04     3.245046208871697e+04     3.245049454313817e+04     3.245055768437466e+04     3.245067004040628e+04     3.245085294586285e+04     3.245113896355292e+04
    6800           -4.80870139e+05            3.93549961e+00            9.96072234e-01            1.00394325e+00     3.243791511032444e+04     3.243791104919944e+04     3.243791934681964e+04     3.243791743584012e+04     3.243792596671863e+04     3.243794377928530e+04     3.243798640710552e+04     3.243806929674163e+04     3.243821651670949e+04     3.243845692643487e+04     3.243883251707185e+04
    7000           -4.81135577e+05            5.28484173e+00            9.94729098e-01            1.00529883e+00     3.246817498469464e+04     3.246817089916295e+04     3.246817938064980e+04     3.246817797926435e+04     3.246818862786343e+04     3.246821219566883e+04     3.246826753547485e+04     3.246837511190990e+04     3.246856596566288e+04     3.246887819511055e+04     3.246936573586863e+04
    7200           -4.81061627e+05            1.02490167e+01            9.89803325e-01            1.01030172e+00     3.242951426336538e+04     3.242951015178228e+04     3.242951911653896e+04     3.242951965874395e+04     3.242953838426997e+04     3.242958281557303e+04     3.242968480047094e+04     3.242988295187016e+04     3.243023390173892e+04     3.243080969892368e+04     3.243170793401009e+04
    7400           -4.81209854e+05            2.85510948e+00            9.97148962e-01            1.00285919e+00     3.241185221157512e+04     3.241184809981516e+04     3.241185653424584e+04     3.241185400198220e+04     3.241186091008219e+04     3.241187419597820e+04     3.241190687594301e+04     3.241197044688039e+04     3.241208358676248e+04     3.241226770482401e+04     3.241255571247382e+04
    7600           -4.80886637e+05            5.30151282e+00            9.94712515e-01            1.00531559e+00     3.247465921683619e+04     3.247465506632307e+04     3.247466358200785e+04     3.247466219037340e+04     3.247467280533918e+04     3.247469626949571e+04     3.247475137247463e+04     3.247485849234392e+04     3.247504854351156e+04     3.247535944344871e+04     3.247584490194092e+04
    7800           -4.80962373e+05            3.28236053e+00            9.96723021e-01            1.00328775e+00     3.260868592285300e+04     3.260868185035863e+04     3.260869018361227e+04     3.260868792881491e+04     3.260869541357749e+04     3.260871057989510e+04     3.260874723569885e+04     3.260881853271432e+04     3.260894532733285e+04     3.260915191384666e+04     3.260947494820014e+04
    8000           -4.80830792e+05            4.88102390e+00            9.95130869e-01            1.00489296e+00     3.251734055201880e+04     3.251733647676366e+04     3.251734500323459e+04     3.251734333068511e+04     3.251735343285100e+04     3.251737518574364e+04     3.251742669251551e+04     3.251752681833861e+04     3.251770452051475e+04     3.251799507023187e+04     3.251844883121375e+04
    8200           -4.81135607e+05           -4.58671505e-01            1.00045878e+00            9.99541434e-01     3.245202090310663e+04     3.245201682352614e+04     3.245202503417099e+04     3.245202111656272e+04     3.245202297456162e+04     3.245202236701837e+04     3.245202450468665e+04     3.245202877421816e+04     3.245203709649954e+04     3.245204867092371e+04     3.245206774828206e+04
    8400           -4.81232727e+05            1.21474066e+01            9.87926075e-01            1.01222149e+00     3.248101117239922e+04     3.248100713156729e+04     3.248101599164217e+04     3.248101747018796e+04     3.248103884137738e+04     3.248109096491066e+04     3.248120967645669e+04     3.248144031364656e+04     3.248184860240350e+04     3.248251900943652e+04     3.248356453276531e+04
    8600           -4.80810646e+05            7.16189481e-01            9.99284067e-01            1.00071645e+00     3.245769533095103e+04     3.245769134705894e+04     3.245769946355840e+04     3.245769608382064e+04     3.245769975064687e+04     3.245770408808306e+04     3.245771708102097e+04     3.245774242616812e+04     3.245778801222225e+04     3.245786086076796e+04     3.245797555917591e+04
    8800           -4.80884449e+05            6.25289421e+00            9.93766614e-01            1.00627248e+00     3.249485431510391e+04     3.249485031358744e+04     3.249485890452023e+04     3.249485777905035e+04     3.249487010813433e+04     3.249489797746737e+04     3.249496291675754e+04     3.249508914046621e+04     3.249531293313166e+04     3.249567945371065e+04     3.249625151073455e+04
    9000           -4.81082880e+05           -6.79769471e-01            1.00068000e+00            9.99320462e-01     3.255695882619917e+04     3.255695469186203e+04     3.255696285008083e+04     3.255695892203397e+04     3.255696032515893e+04     3.255695882619917e+04     3.255695878372408e+04     3.255695882496554e+04     3.255695961523426e+04     3.255695891801048e+04     3.255695882619917e+04
    9200           -4.80963563e+05            1.38795121e+00            9.98613012e-01            1.00138891e+00     3.240172853121543e+04     3.240172444314019e+04     3.240173280600580e+04     3.240172962285401e+04     3.240173417594773e+04     3.240174137482347e+04     3.240176044895826e+04     3.240179760486355e+04     3.240186402600424e+04     3.240197132165341e+04     3.240213952667280e+04
    9400           -4.81020610e+05            7.31769221e+00            9.92709017e-01            1.00734453e+00     3.251388463088470e+04     3.251388049651138e+04     3.251388907025571e+04     3.251388860188625e+04     3.251390249767968e+04     3.251393460689557e+04     3.251400894345145e+04     3.251415341189378e+04     3.251440951168604e+04     3.251482906087834e+04     3.251548386323244e+04
    9600           -4.81081977e+05            7.79571645e+00            9.92234591e-01            1.00782618e+00     3.239429168799963e+04     3.239428764554619e+04     3.239429632725557e+04     3.239429587207067e+04     3.239431055452294e+04     3.239434451365830e+04     3.239442309417923e+04     3.239457579530759e+04     3.239484647145950e+04     3.239528998532719e+04     3.239598210907715e+04
    9800           -4.80900306e+05           -6.27675296e-01            1.00062787e+00            9.99372522e-01     3.254478252684446e+04     3.254477847225232e+04     3.254478662343632e+04     3.254478260622788e+04     3.254478413950206e+04     3.254478260414426e+04     3.254478267744485e+04     3.254478294029326e+04     3.254478419624877e+04     3.254478408607732e+04     3.254478500043801e+04
